Job_Title,Company_Name,URL,Location,Experience,Salary,Skills_Required,Matched_Keywords
Staff Software Engineer,Google,https://www.timesjobs.com/job-detail/staff-software-engineer-google-bengaluru-8-11-years-jobid-kHSXwGRSKzBzpSvf+uAgZw==&source=srp,Bengaluru,8 - 11 Yrs,Not disclosed,"Large scale infrastructure, Distributed systems, Cost performance modeling, Technical leadership, Cross functional collaboration","Google Cloud, Distributed Systems, Networking, System Design"
Lead Software Engineer,Empower,https://www.timesjobs.com/job-detail/lead-software-engineer-empower-remote-5-8-years-jobid-XdLKBYYyoSlzpSvf+uAgZw==&source=srp,Remote,5 - 8 Yrs,Not disclosed,"Technical Leadership, Full Stack Development, Agile Methodologies, Problem Solving Skills, Code Review Expertise","Go, Agile"
Lead Software Engineer,Empower,https://www.timesjobs.com/job-detail/lead-software-engineer-empower-united-states-of-america-usa-7-10-years-jobid-PFBnOnaXK3FzpSvf+uAgZw==&source=srp,United States of America (USA),7 - 10 Yrs,Not disclosed,"Backend Development, Microservices Architecture, Real time Streaming, Test Driven Development, Agile Methodologies","Java, Spring, Spring Boot, AWS, Docker, Kubernetes, CI/CD, Lambda, SQL, PostgreSQL, MySQL, MongoDB, Cassandra, NoSQL, Kafka, Distributed Systems, Microservices, Git, Agile, Scrum, TDD, Design Patterns, System Design"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-hyderabadsecunderabad-3-6-years-jobid-be7fk05upuxzpSvf+uAgZw==&source=srp,Hyderabad/Secunderabad,3 - 6 Yrs,Not disclosed,"OutSystems Development, Agile Methodologies, Software Design, Troubleshooting Skills, System Integration",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-5-8-years-jobid-xwNF+4UBKDdzpSvf+uAgZw==&source=srp,Pune,5 - 8 Yrs,Not disclosed,"IBM FileNet ECM, Java Technologies, Spring Boot, RESTful Services, Workflow Development","Java, Spring, Spring Boot, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-3-6-years-jobid-WJTkCjrC9kRzpSvf+uAgZw==&source=srp,Pune,3 - 6 Yrs,Not disclosed,Java Full Stack Frontend Technologies Backend Development REST API Design Cloud Platform Knowledge,"Java, JavaScript, TypeScript, React, HTML, CSS, Node.js, REST API, Spring, AWS, Azure, GCP, Docker, CI/CD, SQL, NoSQL, Agile, Postman"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-7-10-years-jobid-08vsHGRtE1ZzpSvf+uAgZw==&source=srp,Mumbai,7 - 10 Yrs,Not disclosed,"SAP ABAP Cloud, Object Oriented Programming, Integration Techniques, Middleware Experience, Agile Development Practices",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-7-10-years-jobid-R3jvGwntNzZzpSvf+uAgZw==&source=srp,Mumbai,7 - 10 Yrs,Not disclosed,"SAP ABAP Cloud, Object oriented Programming, Integration Techniques, Middleware Experience, Agile Development Practices",Agile
"Software Engineer, Terraform",Google,https://www.timesjobs.com/job-detail/software-engineer-terraform-google-seattle-2-5-years-jobid-ZiSG__SLASH__j2NFwRzpSvf+uAgZw==&source=srp,Seattle,2 - 5 Yrs,Not disclosed,"Software Development, Infrastructure as Code, Distributed Systems, Cloud Technologies, Generative AI","Go, GCP, Google Cloud, Terraform, Generative AI, Distributed Systems, Networking, System Design"
Principal Software Engineer,Empower,https://www.timesjobs.com/job-detail/principal-software-engineer-empower-remote-10-13-years-jobid-SULFjAFDNWlzpSvf+uAgZw==&source=srp,Remote,10 - 13 Yrs,Not disclosed,"Java Development, Cloud Technologies, Microservices Architecture, Technical Leadership, API Development","Java, Spring, Spring Boot, AWS, SQL, NoSQL, Microservices"
Title: Software Engineer,NetApp,https://www.timesjobs.com/job-detail/title-software-engineer-netapp-bengaluru-3-5-years-jobid-yqywT241vwFzpSvf+uAgZw==&source=srp,Bengaluru,3 - 5 Yrs,Not disclosed,"C++ Programming, AI native Development, Unit Testing, Large scale Systems, Linux Containers","Python, Java, Go, Ruby, AWS, Linux, SQL, Cassandra, NoSQL, Distributed Systems, Agile, TDD"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-5-8-years-jobid-PfHkbBkx6XZzpSvf+uAgZw==&source=srp,Mumbai,5 - 8 Yrs,Not disclosed,"Spring Boot, RESTful API Design, Microservices Architecture, Cloud Deployment, Database Technologies","Spring, Spring Boot, PostgreSQL, MySQL, Microservices, Git, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-3-5-years-jobid-__SLASH__l1MDKmlyYVzpSvf+uAgZw==&source=srp,Mumbai,3 - 5 Yrs,Not disclosed,"SAP S/HANA Expertise, Agile Methodologies, Software Development Lifecycle, Technical Troubleshooting, Data Transformation Processes",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-3-6-years-jobid-f5szUO9Mqe5zpSvf+uAgZw==&source=srp,Mumbai,3 - 6 Yrs,Not disclosed,"SAP MM Expertise, Materials Management, Agile Methodologies, Software Development Lifecycle, Problem Solving",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-5-8-years-jobid-J1yFLtFQshdzpSvf+uAgZw==&source=srp,Pune,5 - 8 Yrs,Not disclosed,"SAP Integrated Business Planning (IBP), Software Development Lifecycle, Agile Development Methodologies, Performance Optimization, Technical Specifications Translation",Agile
Title: Software Engineer,NetApp,https://www.timesjobs.com/job-detail/title-software-engineer-netapp-bengaluru-2-5-years-jobid-lqbQSe+abZJzpSvf+uAgZw==&source=srp,Bengaluru,2 - 5 Yrs,Not disclosed,"Cloud Computing, Software Development, Automated Testing, Client Requirements, Scalable Systems",
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-3-6-years-jobid-nwxjzMjY3e1zpSvf+uAgZw==&source=srp,Mumbai,3 - 6 Yrs,Not disclosed,"Red Hat OpenShift, Container Orchestration, Microservices Architecture, CI/CD Pipelines, Application Performance Optimization","Microservices, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-6-9-years-jobid-3QWDLcLKWCJzpSvf+uAgZw==&source=srp,Mumbai,6 - 9 Yrs,Not disclosed,"Java Full Stack, AI assisted Development, Frontend Frameworks, Backend Programming, Cloud Native Development","Python, Java, JavaScript, TypeScript, React, Angular, Vue, GraphQL, Spring, Spring Boot, CI/CD, SQL, NoSQL, LLM, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-5-8-years-jobid-__SLASH__TKIKhiBkHVzpSvf+uAgZw==&source=srp,Mumbai,5 - 8 Yrs,Not disclosed,"Java Development, Full Stack, API Integration, Agile Practices, React, js","Java, JavaScript, TypeScript, React, Spring, Spring Boot, Agile, OAuth, JWT"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-7-9-years-jobid-GTehXb4lLzJzpSvf+uAgZw==&source=srp,Pune,7 - 9 Yrs,Not disclosed,"Camunda BPM, Java EE, Agile Methodologies, Workflow Automation, Software Development","Java, Agile"
"Software Engineer, IT Infrastructure",Google,https://www.timesjobs.com/job-detail/software-engineer-it-infrastructure-google-united-states-of-america-usa-5-8-years-jobid-zteD8rMAcMtzpSvf+uAgZw==&source=srp,United States of America (USA),5 - 8 Yrs,Not disclosed,"Database Management, Google Cloud Platform, ETL Development, Automation Solutions, AI/ML Integration","Python, GCP, Google Cloud, Docker, Terraform, SQL, ETL, Networking, System Design"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-hyderabadsecunderabad-3-6-years-jobid-y0R1huyhc+dzpSvf+uAgZw==&source=srp,Hyderabad/Secunderabad,3 - 6 Yrs,Not disclosed,"Oracle HCM Cloud, Agile Methodologies, Software Development Life Cycle, Coding and Debugging, Problem Solving Skills",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-5-8-years-jobid-zH8ONmaz3qFzpSvf+uAgZw==&source=srp,Mumbai,5 - 8 Yrs,Not disclosed,"Oracle Financial Consolidation, Agile Development Practices, Software Design Principles, Custom Software Solutions, Performance Optimization Techniques",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-2-5-years-jobid-sfBKh2ur1YBzpSvf+uAgZw==&source=srp,Mumbai,2 - 5 Yrs,Not disclosed,"Python Programming, Object Oriented Programming, Software Design Patterns, Agile Development Practices, Debugging Techniques","Python, Agile, Design Patterns"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-5-8-years-jobid-nue2Uby7C5BzpSvf+uAgZw==&source=srp,Mumbai,5 - 8 Yrs,Not disclosed,"Spring Boot, RESTful API, Microservices Architecture, Cloud Platforms, Database Management","Spring, Spring Boot, AWS, Azure, SQL, NoSQL, Microservices, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-3-6-years-jobid-fuidji0jh6JzpSvf+uAgZw==&source=srp,Pune,3 - 6 Yrs,Not disclosed,"Snowflake Data Warehouse, Data Modeling Concepts, Agile Methodologies, Performance Tuning, Code Optimization",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-7-10-years-jobid-kxk8uOQpNadzpSvf+uAgZw==&source=srp,Pune,7 - 10 Yrs,Not disclosed,"SAP Cloud Migration, GCP Expertise, Agile Methodologies, Scalable Architectures, Automation Tools","GCP, Google Cloud, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-hyderabadsecunderabad-3-6-years-jobid-4+ri1F+wTelzpSvf+uAgZw==&source=srp,Hyderabad/Secunderabad,3 - 6 Yrs,Not disclosed,"Adobe Experience Manager, Web Content Management, Front end Technologies, RESTful Services, Agile Methodologies","JavaScript, HTML, CSS, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-3-6-years-jobid-N__SLASH__QEXRnfn5pzpSvf+uAgZw==&source=srp,Pune,3 - 6 Yrs,Not disclosed,"Microsoft Azure, Data Analytics, Cloud Integration, Software Development, Agile Methodologies","Azure, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-bengaluru-nagpur-5-8-years-jobid-rpjTWR+02YRzpSvf+uAgZw==&source=srp,"Bengaluru, Nagpur",5 - 8 Yrs,Not disclosed,"SAP Commerce Cloud, Application Design, Configuration Expertise, Problem Solving, Agile Methodologies",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-7-10-years-jobid-fnUMEbIqWeNzpSvf+uAgZw==&source=srp,Mumbai,7 - 10 Yrs,Not disclosed,"Spring Boot Proficiency, RESTful Web Services, Microservices Architecture, Database Management, Agile Methodologies","Spring, Spring Boot, AWS, Azure, PostgreSQL, MySQL, Microservices, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-3-6-years-jobid-d3ChQ2OwAkNzpSvf+uAgZw==&source=srp,Mumbai,3 - 6 Yrs,Not disclosed,"Spring Boot, RESTful API Development, Microservices Architecture, Database Technologies, Version Control Systems","Spring, Spring Boot, PostgreSQL, MySQL, Microservices, Git, Agile, Design Patterns"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-7-9-years-jobid-X26Wz8ZTxXJzpSvf+uAgZw==&source=srp,Mumbai,7 - 9 Yrs,Not disclosed,"Workday Core Integrations, Software Development, Data Integration Techniques, Analytical Skills, Problem Solving Skills",
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-5-8-years-jobid-f3v7IgescotzpSvf+uAgZw==&source=srp,Mumbai,5 - 8 Yrs,Not disclosed,"Informatica Administration, Data Integration, ETL Processes, SQL Knowledge, Performance Tuning","Linux, SQL, ETL"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-bengaluru-pune-3-6-years-jobid-txcDkA4amTRzpSvf+uAgZw==&source=srp,"Bengaluru, Pune",3 - 6 Yrs,Not disclosed,"Oracle Procurement Cloud, Software Development Life Cycle, Agile Methodologies, Cloud Integration Solutions, Technical Troubleshooting",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-3-6-years-jobid-gVdcO8P248NzpSvf+uAgZw==&source=srp,Pune,3 - 6 Yrs,Not disclosed,"Mobile Automation Testing, Agile Methodologies, Software Development Life Cycle, Test Script Design, Debugging Techniques",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-7-8-years-jobid-BpABHSG7rBdzpSvf+uAgZw==&source=srp,Pune,7 - 8 Yrs,Not disclosed,"Icertis Contract Intelligence, Software Development Life Cycle, Agile Methodologies, Scalable Software Design, Complex Technical Problem solving",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-5-8-years-jobid-ET__SLASH__ksxTi+EBzpSvf+uAgZw==&source=srp,Pune,5 - 8 Yrs,Not disclosed,"Scala Programming, Spark Framework, AWS Services, Functional Programming, Software Development","Python, Scala, AWS, Kubernetes, Shell Scripting, Agile"
Senior Software Engineer,Wells Fargo,https://www.timesjobs.com/job-detail/senior-software-engineer-wells-fargo-hyderabadsecunderabad-4-9-years-jobid-cz8bXVCIIxtzpSvf+uAgZw==&source=srp,Hyderabad/Secunderabad,4 - 9 Yrs,Not disclosed,"Full Stack Development, Java Programming, SQL Experience, Agile Methodology, AI Tool Exposure","Python, Java, Jenkins, SQL, LLM, Microservices, Git, Agile, Jira"
Senior Software Engineer,Master Card,https://www.timesjobs.com/job-detail/senior-software-engineer-master-card-israel-5-8-years-jobid-3NsPKEftKYJzpSvf+uAgZw==&source=srp,Israel,5 - 8 Yrs,Not disclosed,"Backend Development, Python Programming, AI Technologies, Cloud Platforms, System Design","Python, Node.js, AWS, Docker, Kubernetes, PostgreSQL, Redis, DynamoDB, LLM, Generative AI, Distributed Systems, Microservices, System Design"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-6-9-years-jobid-JU73jO5hVUlzpSvf+uAgZw==&source=srp,Pune,6 - 9 Yrs,Not disclosed,"Camunda BPM, Java EE, Agile Methodologies, Workflow Automation, Software Development","Java, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-6-9-years-jobid-bFi__SLASH__E4tuXbVzpSvf+uAgZw==&source=srp,Pune,6 - 9 Yrs,Not disclosed,"Camunda BPM, Java EE, Agile Practices, Workflow Automation, Software Development","Java, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-5-8-years-jobid-TfcPuCeisENzpSvf+uAgZw==&source=srp,Pune,5 - 8 Yrs,Not disclosed,"Agentforce Expertise, Agile Methodologies, Software Lifecycle Management, Scalable Architectures, Performance Optimization",Agile
Senior Software Engineer,Google,https://www.timesjobs.com/job-detail/senior-software-engineer-google-united-states-of-america-usa-5-8-years-jobid-4gdIbE49mlpzpSvf+uAgZw==&source=srp,United States of America (USA),5 - 8 Yrs,Not disclosed,"Object oriented programming, Software design expertise, Data structures knowledge, Technical leadership experience, Testing and maintenance","Python, Java, Networking, Data Structures, Algorithms, System Design"
Staff Software Engineer,Google,https://www.timesjobs.com/job-detail/staff-software-engineer-google-other-citys-in-new-york-5-7-years-jobid-gaU+TT6wg2JzpSvf+uAgZw==&source=srp,Other City(s) in New York,5 - 7 Yrs,Not disclosed,"Software Development, Machine Learning, Algorithm Design, System Debugging, Architecture Design","Python, Java, Go, Kotlin, Machine Learning, LLM"
Staff Software Engineer,GE Healthcare,https://www.timesjobs.com/job-detail/staff-software-engineer-ge-healthcare-bengaluru-1-4-years-jobid-+BBvC7aPEX9zpSvf+uAgZw==&source=srp,Bengaluru,1 - 4 Yrs,Not disclosed,"Technical Troubleshooting, Software Development, Cloud Platform Familiarity, Strong Debugging, Leadership Coordination","Python, Java, AWS, Bash, SQL, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-hyderabadsecunderabad-5-8-years-jobid-96mUSOcZ9TpzpSvf+uAgZw==&source=srp,Hyderabad/Secunderabad,5 - 8 Yrs,Not disclosed,"Microsoft Azure, Custom Software Development, Agile Methodologies, Data Processing, Performance Optimization","Azure, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-5-8-years-jobid-35BAG1kIXMBzpSvf+uAgZw==&source=srp,Mumbai,5 - 8 Yrs,Not disclosed,"Net Full Stack, Web Development, Database Management, Cloud Services, Agile Practices","SQL, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-7-10-years-jobid-ppLWNprTOLVzpSvf+uAgZw==&source=srp,Mumbai,7 - 10 Yrs,Not disclosed,SAP ABAP Cloud Object Oriented Programming Integration Techniques Performance Optimization Agile Development Practices,Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-5-8-years-jobid-K4ZNuBXNRGVzpSvf+uAgZw==&source=srp,Pune,5 - 8 Yrs,Not disclosed,"Microsoft Azure, Agile Methodologies, Software Development, Data Processing, Technical Troubleshooting","Azure, Agile"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-5-8-years-jobid-E2DcQnIARflzpSvf+uAgZw==&source=srp,Mumbai,5 - 8 Yrs,Not disclosed,"Informatica Intelligent Cloud, Data Governance Experience, Cloud Based Integration, Scalable Software Architecture, Agile Development Practices",Agile
Professional Software Engineer,Volvo,https://www.timesjobs.com/job-detail/professional-software-engineer-volvo-bengaluru-8-10-years-jobid-feKPZEOkT1dzpSvf+uAgZw==&source=srp,Bengaluru,8 - 10 Yrs,Not disclosed,"Full Stack Development, Angular Expertise, NET Technologies, RESTful APIs, SQL Server Proficiency","JavaScript, TypeScript, Angular, SQL, Microservices, Git, Agile, Scrum, Unit Testing, OOP"
Lead Software Engineer,Empower,https://www.timesjobs.com/job-detail/lead-software-engineer-empower-united-states-of-america-usa-7-10-years-jobid-X9VmY6w__SLASH__wDtzpSvf+uAgZw==&source=srp,United States of America (USA),7 - 10 Yrs,Not disclosed,"Java Expertise, Spring Framework, Microservices Architecture, Apache Kafka, TDD and BDD","Java, Spring, Spring Boot, AWS, Docker, Kubernetes, CI/CD, Lambda, SQL, PostgreSQL, MySQL, MongoDB, Cassandra, NoSQL, Kafka, Distributed Systems, Microservices, Git, Agile, Scrum, TDD, Design Patterns, System Design"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-7-10-years-jobid-t3M__SLASH__bYK+hwlzpSvf+uAgZw==&source=srp,Mumbai,7 - 10 Yrs,Not disclosed,"SAP ABAP Cloud, Object Oriented Programming, Middleware Integration, Performance Optimization, Agile Development Practices",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-7-10-years-jobid-agXx41eJsURzpSvf+uAgZw==&source=srp,Mumbai,7 - 10 Yrs,Not disclosed,"SAP ABAP Cloud, Object Oriented Programming, Integration Techniques, Code Optimization, Agile Development",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-coimbatore-navi-mumbai-7-10-years-jobid-cJaBOBNUe8pzpSvf+uAgZw==&source=srp,"Coimbatore, Navi Mumbai",7 - 10 Yrs,Not disclosed,"SAP ABAP Development, Application Design Principles, Database Management Techniques, Integration Tools Knowledge, Troubleshooting Application Issues",Agile
Staff Software Engineer,Google,https://www.timesjobs.com/job-detail/staff-software-engineer-google-bengaluru-8-11-years-jobid-eAhR0raFnohzpSvf+uAgZw==&source=srp,Bengaluru,8 - 11 Yrs,Not disclosed,"Distributed Systems, Infrastructure Development, Technical Leadership, Cost Modeling, Stakeholder Collaboration","Google Cloud, Distributed Systems, Networking, System Design"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-hyderabadsecunderabad-7-10-years-jobid-cLJvBp0xguJzpSvf+uAgZw==&source=srp,Hyderabad/Secunderabad,7 - 10 Yrs,Not disclosed,"Oracle Database Administration, Database Performance Tuning, Backup and Recovery, Security Management, Troubleshooting Complex Issues",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-hyderabadsecunderabad-3-6-years-jobid-KglpIvNNt05zpSvf+uAgZw==&source=srp,Hyderabad/Secunderabad,3 - 6 Yrs,Not disclosed,"SAP Utilities CRM, Software Development Life Cycle, Application Configuration, Troubleshooting Technical Issues, Integration Techniques",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-5-8-years-jobid-OWq__SLASH__sCwyY1VzpSvf+uAgZw==&source=srp,Mumbai,5 - 8 Yrs,Not disclosed,"Selenium Expertise, Test Automation Development, Agile Methodologies, Java/JavaScript Proficiency, CI/CD Integration","Java, JavaScript, TypeScript, Docker, Jenkins, GitHub Actions, SQL, Git, Agile, Scrum, Design Patterns, Jira, Postman"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-5-8-years-jobid-6UoG6A9jRkFzpSvf+uAgZw==&source=srp,Mumbai,5 - 8 Yrs,Not disclosed,"Java Development, Full Stack, RESTful APIs, Frontend Technologies, Database Knowledge","Java, JavaScript, Angular, HTML, CSS, Spring, Spring Boot, MySQL, MongoDB"
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-mumbai-7-9-years-jobid-KBi4UZuu__SLASH__5BzpSvf+uAgZw==&source=srp,Mumbai,7 - 9 Yrs,Not disclosed,"SAP ABAP Development, HANA Database Integration, Agile Practices, Application Development, Team Collaboration",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-7-10-years-jobid-JzoNc+bQavtzpSvf+uAgZw==&source=srp,Pune,7 - 10 Yrs,Not disclosed,"SAP ABAP Cloud, Object Oriented Programming, Middleware Integration, Code Optimization, Agile Development Practices",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-hyderabadsecunderabad-1-4-years-jobid-smySuHU+zgJzpSvf+uAgZw==&source=srp,Hyderabad/Secunderabad,1 - 4 Yrs,Not disclosed,"Salesforce Service Cloud, Salesforce Sales Cloud, Salesforce Marketing Cloud, Agile Methodologies, RESTful APIs Integration",Agile
Custom Software Engineer,Accenture,https://www.timesjobs.com/job-detail/custom-software-engineer-accenture-pune-7-10-years-jobid-SuOpqp4tGPxzpSvf+uAgZw==&source=srp,Pune,7 - 10 Yrs,Not disclosed,"SAP ABAP Cloud, Object oriented Programming, Cloud Integration Techniques, Code Optimization, Agile Development Practices",Agile
